Epoch: [2][140/938], lr: 0.00500	Time 3.023 (1.332)	Data 2.384 (0.694)	Loss 1.2884 (1.3491)	Prec@1 70.000 (60.213)	Prec@5 90.000 (90.733)
Epoch: [2][160/938], lr: 0.00500	Time 5.331 (1.327)	Data 4.693 (0.691)	Loss 1.1501 (1.3628)	Prec@1 66.667 (59.876)	Prec@5 90.000 (90.393)
Epoch: [2][180/938], lr: 0.00500	Time 2.864 (1.310)	Data 2.198 (0.675)	Loss 1.8105 (1.3589)	Prec@1 50.000 (60.110)	Prec@5 83.333 (90.405)
Epoch: [2][200/938], lr: 0.00500	Time 2.903 (1.315)	Data 2.237 (0.680)	Loss 1.0915 (1.3519)	Prec@1 66.667 (60.315)	Prec@5 93.333 (90.514)
Epoch: [2][220/938], lr: 0.00500	Time 1.386 (1.314)	Data 0.747 (0.679)	Loss 1.3656 (1.3445)	Prec@1 56.667 (60.528)	Prec@5 86.667 (90.543)
Epoch: [2][240/938], lr: 0.00500	Time 2.833 (1.308)	Data 2.194 (0.673)	Loss 1.2501 (1.3401)	Prec@1 60.000 (60.581)	Prec@5 86.667 (90.664)
Epoch: [2][260/938], lr: 0.00500	Time 1.981 (1.304)	Data 1.343 (0.669)	Loss 1.2639 (1.3446)	Prec@1 60.000 (60.319)	Prec@5 96.667 (90.677)
Epoch: [2][280/938], lr: 0.00500	Time 2.220 (1.304)	Data 1.583 (0.669)	Loss 1.2013 (1.3440)	Prec@1 66.667 (60.308)	Prec@5 90.000 (90.700)
Epoch: [2][300/938], lr: 0.00500	Time 0.918 (1.296)	Data 0.273 (0.661)	Loss 1.2501 (1.3412)	Prec@1 73.333 (60.554)	Prec@5 93.333 (90.775)
Epoch: [2][320/938], lr: 0.00500	Time 0.603 (1.295)	Data 0.000 (0.660)	Loss 2.2133 (1.3337)	Prec@1 56.667 (60.820)	Prec@5 76.667 (90.820)
Epoch: [2][340/938], lr: 0.00500	Time 0.631 (1.302)	Data 0.000 (0.667)	Loss 0.7805 (1.3251)	Prec@1 73.333 (61.134)	Prec@5 96.667 (90.909)
Epoch: [2][360/938], lr: 0.00500	Time 0.660 (1.302)	Data 0.000 (0.667)	Loss 0.8042 (1.3216)	Prec@1 76.667 (61.173)	Prec@5 96.667 (91.006)
Epoch: [2][380/938], lr: 0.00500	Time 0.623 (1.297)	Data 0.000 (0.661)	Loss 1.3146 (1.3140)	Prec@1 60.000 (61.382)	Prec@5 90.000 (91.085)
Epoch: [2][400/938], lr: 0.00500	Time 0.605 (1.299)	Data 0.000 (0.664)	Loss 1.1112 (1.3101)	Prec@1 76.667 (61.480)	Prec@5 90.000 (91.106)
Epoch: [2][420/938], lr: 0.00500	Time 0.628 (1.299)	Data 0.000 (0.664)	Loss 0.9304 (1.3061)	Prec@1 66.667 (61.473)	Prec@5 96.667 (91.148)
Epoch: [2][440/938], lr: 0.00500	Time 0.609 (1.300)	Data 0.000 (0.665)	Loss 1.3870 (1.3000)	Prec@1 56.667 (61.602)	Prec@5 86.667 (91.194)
Epoch: [2][460/938], lr: 0.00500	Time 0.640 (1.295)	Data 0.000 (0.659)	Loss 1.4200 (1.2916)	Prec@1 63.333 (61.923)	Prec@5 90.000 (91.302)
Epoch: [2][480/938], lr: 0.00500	Time 0.621 (1.293)	Data 0.000 (0.658)	Loss 0.7875 (1.2874)	Prec@1 73.333 (62.107)	Prec@5 100.000 (91.365)
Epoch: [2][500/938], lr: 0.00500	Time 0.633 (1.296)	Data 0.000 (0.661)	Loss 0.9929 (1.2789)	Prec@1 63.333 (62.335)	Prec@5 93.333 (91.457)
Epoch: [2][520/938], lr: 0.00500	Time 0.615 (1.297)	Data 0.000 (0.662)	Loss 0.8789 (1.2802)	Prec@1 76.667 (62.335)	Prec@5 96.667 (91.504)
Epoch: [2][540/938], lr: 0.00500	Time 0.618 (1.293)	Data 0.000 (0.658)	Loss 1.2887 (1.2810)	Prec@1 70.000 (62.384)	Prec@5 93.333 (91.466)
Epoch: [2][560/938], lr: 0.00500	Time 0.609 (1.294)	Data 0.000 (0.659)	Loss 0.9529 (1.2823)	Prec@1 73.333 (62.323)	Prec@5 96.667 (91.479)
Epoch: [2][580/938], lr: 0.00500	Time 0.635 (1.292)	Data 0.000 (0.657)	Loss 1.7056 (1.2773)	Prec@1 66.667 (62.524)	Prec@5 86.667 (91.509)
Epoch: [2][600/938], lr: 0.00500	Time 0.636 (1.289)	Data 0.000 (0.655)	Loss 1.6196 (1.2742)	Prec@1 53.333 (62.690)	Prec@5 90.000 (91.547)
Epoch: [2][620/938], lr: 0.00500	Time 0.635 (1.292)	Data 0.001 (0.658)	Loss 0.8877 (1.2672)	Prec@1 73.333 (62.872)	Prec@5 93.333 (91.594)
Epoch: [2][640/938], lr: 0.00500	Time 0.619 (1.294)	Data 0.000 (0.659)	Loss 1.7563 (1.2652)	Prec@1 46.667 (62.949)	Prec@5 86.667 (91.591)
Epoch: [2][660/938], lr: 0.00500	Time 0.604 (1.294)	Data 0.000 (0.659)	Loss 0.9183 (1.2616)	Prec@1 76.667 (63.021)	Prec@5 96.667 (91.639)
Epoch: [2][680/938], lr: 0.00500	Time 0.629 (1.292)	Data 0.000 (0.657)	Loss 0.9006 (1.2582)	Prec@1 66.667 (63.079)	Prec@5 96.667 (91.684)
Epoch: [2][700/938], lr: 0.00500	Time 0.619 (1.294)	Data 0.000 (0.660)	Loss 1.2324 (1.2562)	Prec@1 63.333 (63.086)	Prec@5 93.333 (91.717)
Epoch: [2][720/938], lr: 0.00500	Time 0.615 (1.293)	Data 0.000 (0.658)	Loss 1.2090 (1.2523)	Prec@1 66.667 (63.176)	Prec@5 96.667 (91.761)
Epoch: [2][740/938], lr: 0.00500	Time 0.611 (1.294)	Data 0.000 (0.660)	Loss 0.9543 (1.2496)	Prec@1 73.333 (63.248)	Prec@5 93.333 (91.768)
Epoch: [2][760/938], lr: 0.00500	Time 0.633 (1.292)	Data 0.000 (0.658)	Loss 0.9152 (1.2473)	Prec@1 73.333 (63.307)	Prec@5 96.667 (91.831)
Epoch: [2][780/938], lr: 0.00500	Time 0.625 (1.292)	Data 0.000 (0.658)	Loss 0.7925 (1.2423)	Prec@1 76.667 (63.436)	Prec@5 100.000 (91.899)
Epoch: [2][800/938], lr: 0.00500	Time 0.629 (1.294)	Data 0.000 (0.660)	Loss 1.0244 (1.2395)	Prec@1 70.000 (63.496)	Prec@5 96.667 (91.935)
Epoch: [2][820/938], lr: 0.00500	Time 0.632 (1.294)	Data 0.000 (0.660)	Loss 1.2810 (1.2379)	Prec@1 60.000 (63.569)	Prec@5 90.000 (91.949)
Epoch: [2][840/938], lr: 0.00500	Time 0.627 (1.292)	Data 0.000 (0.658)	Loss 1.1589 (1.2334)	Prec@1 70.000 (63.702)	Prec@5 86.667 (92.002)
Epoch: [2][860/938], lr: 0.00500	Time 0.626 (1.292)	Data 0.000 (0.658)	Loss 0.9929 (1.2314)	Prec@1 70.000 (63.744)	Prec@5 96.667 (92.036)
Epoch: [2][880/938], lr: 0.00500	Time 0.630 (1.293)	Data 0.000 (0.659)	Loss 1.2530 (1.2286)	Prec@1 70.000 (63.821)	Prec@5 86.667 (92.039)
Epoch: [2][900/938], lr: 0.00500	Time 0.630 (1.294)	Data 0.000 (0.660)	Loss 1.3352 (1.2263)	Prec@1 60.000 (63.873)	Prec@5 93.333 (92.068)
Epoch: [2][920/938], lr: 0.00500	Time 0.618 (1.293)	Data 0.000 (0.659)	Loss 1.2469 (1.2219)	Prec@1 70.000 (64.017)	Prec@5 90.000 (92.096)
Epoch: [3][0/938], lr: 0.00500	Time 5.761 (5.761)	Data 5.121 (5.121)	Loss 0.9490 (0.9490)	Prec@1 76.667 (76.667)	Prec@5 90.000 (90.000)
Epoch: [3][20/938], lr: 0.00500	Time 2.458 (1.403)	Data 1.821 (0.769)	Loss 0.9908 (0.9626)	Prec@1 70.000 (73.016)	Prec@5 96.667 (94.762)
Epoch: [3][40/938], lr: 0.00500	Time 2.196 (1.227)	Data 1.533 (0.593)	Loss 1.1244 (0.9956)	Prec@1 60.000 (70.813)	Prec@5 96.667 (94.634)
Epoch: [3][60/938], lr: 0.00500	Time 1.616 (1.193)	Data 0.977 (0.561)	Loss 0.8391 (1.0056)	Prec@1 63.333 (70.383)	Prec@5 100.000 (94.153)
Epoch: [3][80/938], lr: 0.00500	Time 3.873 (1.169)	Data 3.217 (0.537)	Loss 1.0182 (1.0108)	Prec@1 76.667 (69.959)	Prec@5 90.000 (94.198)
Epoch: [3][100/938], lr: 0.00500	Time 2.165 (1.161)	Data 1.525 (0.528)	Loss 0.7159 (1.0010)	Prec@1 80.000 (69.901)	Prec@5 100.000 (94.224)
