Epoch: [1][900/1201], lr: 0.00500	Time 7.701 (2.257)	Data 7.032 (1.591)	Loss 0.1778 (0.1397)	Prec@1 96.667 (95.845)	Prec@5 100.000 (99.582)
Epoch: [1][920/1201], lr: 0.00500	Time 5.032 (2.255)	Data 4.361 (1.589)	Loss 0.0887 (0.1401)	Prec@1 100.000 (95.860)	Prec@5 100.000 (99.569)
Epoch: [1][940/1201], lr: 0.00500	Time 5.221 (2.247)	Data 4.552 (1.582)	Loss 0.3672 (0.1407)	Prec@1 90.000 (95.820)	Prec@5 100.000 (99.578)
Epoch: [1][960/1201], lr: 0.00500	Time 5.839 (2.245)	Data 5.168 (1.579)	Loss 0.1158 (0.1397)	Prec@1 93.333 (95.848)	Prec@5 100.000 (99.584)
Epoch: [1][980/1201], lr: 0.00500	Time 8.350 (2.244)	Data 7.682 (1.578)	Loss 0.3335 (0.1399)	Prec@1 93.333 (95.851)	Prec@5 96.667 (99.582)
Epoch: [1][1000/1201], lr: 0.00500	Time 8.763 (2.244)	Data 8.102 (1.578)	Loss 0.0259 (0.1397)	Prec@1 100.000 (95.857)	Prec@5 100.000 (99.580)
Epoch: [1][1020/1201], lr: 0.00500	Time 5.489 (2.238)	Data 4.815 (1.573)	Loss 0.1797 (0.1392)	Prec@1 93.333 (95.864)	Prec@5 100.000 (99.585)
Epoch: [1][1040/1201], lr: 0.00500	Time 5.105 (2.238)	Data 4.429 (1.572)	Loss 0.0706 (0.1383)	Prec@1 96.667 (95.892)	Prec@5 100.000 (99.590)
Epoch: [1][1060/1201], lr: 0.00500	Time 8.903 (2.240)	Data 8.230 (1.574)	Loss 0.0282 (0.1380)	Prec@1 100.000 (95.900)	Prec@5 100.000 (99.592)
Epoch: [1][1080/1201], lr: 0.00500	Time 6.977 (2.243)	Data 6.303 (1.578)	Loss 0.0455 (0.1381)	Prec@1 100.000 (95.914)	Prec@5 100.000 (99.593)
Epoch: [1][1100/1201], lr: 0.00500	Time 6.501 (2.246)	Data 5.835 (1.580)	Loss 0.0143 (0.1377)	Prec@1 100.000 (95.931)	Prec@5 100.000 (99.591)
Epoch: [1][1120/1201], lr: 0.00500	Time 7.336 (2.247)	Data 6.670 (1.581)	Loss 0.0447 (0.1376)	Prec@1 96.667 (95.938)	Prec@5 100.000 (99.590)
Epoch: [1][1140/1201], lr: 0.00500	Time 8.192 (2.250)	Data 7.527 (1.584)	Loss 0.2440 (0.1375)	Prec@1 96.667 (95.942)	Prec@5 100.000 (99.594)
Epoch: [1][1160/1201], lr: 0.00500	Time 3.710 (2.248)	Data 3.039 (1.583)	Loss 0.3096 (0.1375)	Prec@1 86.667 (95.940)	Prec@5 100.000 (99.601)
Epoch: [1][1180/1201], lr: 0.00500	Time 2.678 (2.248)	Data 2.016 (1.582)	Loss 0.3661 (0.1374)	Prec@1 90.000 (95.933)	Prec@5 100.000 (99.608)
Epoch: [1][1200/1201], lr: 0.00500	Time 2.887 (2.248)	Data 2.222 (1.582)	Loss 0.2178 (0.1378)	Prec@1 93.333 (95.917)	Prec@5 100.000 (99.609)
Test: [0/1202]	Time 6.831 (6.831)	Loss 0.0032 (0.0032)	Prec@1 100.000 (100.000)	Prec@5 100.000 (100.000)
Test: [20/1202]	Time 6.684 (2.152)	Loss 0.0074 (0.0068)	Prec@1 100.000 (99.683)	Prec@5 100.000 (100.000)
