Epoch: [1][880/1085], lr: 0.00500	Time 2.841 (2.057)	Data 2.168 (1.388)	Loss 0.0488 (0.1632)	Prec@1 100.000 (95.236)	Prec@5 100.000 (99.535)
Epoch: [1][900/1085], lr: 0.00500	Time 1.534 (2.058)	Data 0.870 (1.389)	Loss 0.0132 (0.1625)	Prec@1 100.000 (95.261)	Prec@5 100.000 (99.541)
Epoch: [1][920/1085], lr: 0.00500	Time 3.255 (2.058)	Data 2.591 (1.389)	Loss 0.1993 (0.1634)	Prec@1 90.000 (95.241)	Prec@5 100.000 (99.533)
Epoch: [1][940/1085], lr: 0.00500	Time 0.712 (2.056)	Data 0.042 (1.387)	Loss 0.5522 (0.1633)	Prec@1 90.000 (95.253)	Prec@5 100.000 (99.532)
Epoch: [1][960/1085], lr: 0.00500	Time 1.669 (2.056)	Data 0.998 (1.387)	Loss 0.2566 (0.1641)	Prec@1 90.000 (95.248)	Prec@5 96.667 (99.521)
Epoch: [1][980/1085], lr: 0.00500	Time 2.258 (2.057)	Data 1.584 (1.389)	Loss 0.0535 (0.1641)	Prec@1 100.000 (95.250)	Prec@5 100.000 (99.521)
Epoch: [1][1000/1085], lr: 0.00500	Time 2.021 (2.057)	Data 1.355 (1.388)	Loss 0.0523 (0.1642)	Prec@1 100.000 (95.245)	Prec@5 100.000 (99.517)
Epoch: [1][1020/1085], lr: 0.00500	Time 3.248 (2.058)	Data 2.573 (1.389)	Loss 0.0407 (0.1635)	Prec@1 100.000 (95.276)	Prec@5 100.000 (99.523)
Epoch: [1][1040/1085], lr: 0.00500	Time 2.576 (2.057)	Data 1.912 (1.388)	Loss 0.1913 (0.1638)	Prec@1 93.333 (95.261)	Prec@5 96.667 (99.504)
Epoch: [1][1060/1085], lr: 0.00500	Time 3.018 (2.056)	Data 2.347 (1.387)	Loss 0.0364 (0.1635)	Prec@1 100.000 (95.262)	Prec@5 100.000 (99.507)
Epoch: [1][1080/1085], lr: 0.00500	Time 2.358 (2.057)	Data 1.694 (1.388)	Loss 0.1167 (0.1630)	Prec@1 96.667 (95.282)	Prec@5 100.000 (99.513)
Epoch: [2][0/1085], lr: 0.00500	Time 6.021 (6.021)	Data 5.338 (5.338)	Loss 0.2945 (0.2945)	Prec@1 90.000 (90.000)	Prec@5 96.667 (96.667)
Epoch: [2][20/1085], lr: 0.00500	Time 5.487 (1.747)	Data 4.821 (1.082)	Loss 0.3020 (0.1471)	Prec@1 93.333 (95.238)	Prec@5 96.667 (99.365)
